device-group,product,topic,time,frac-reviews,avg-rating
Voice Assistants,EchoFlex,PS,12,0.0,1
Voice Assistants,EchoFlex,PS,13,0.0,1
Voice Assistants,EchoFlex,PS,14,0.0,1
Voice Assistants,EchoFlex,PS,15,0.0,1
Voice Assistants,EchoFlex,PS,16,0.0,1
Voice Assistants,EchoFlex,PS,17,0.0,1
Voice Assistants,EchoFlex,PS,18,0.0024958402662229617,3.9166666666666665
Voice Assistants,EchoFlex,PS,19,0.006863560732113145,3.696969696969697
Voice Assistants,EchoFlex,PS,20,0.01747088186356073,4.119047619047619
Voice Assistants,EchoFlex,PS,21,0.008527454242928452,3.8780487804878048
Voice Assistants,EchoFlex,PS,22,0.02038269550748752,4.326530612244898
Voice Assistants,EchoFlex,PS,23,0.0,1
Voice Assistants,EchoFlex,PS,24,0.0,1
Voice Assistants,EchoFlex,security,0,0.0,1
Voice Assistants,EchoFlex,security,1,0.0,1
Voice Assistants,EchoFlex,security,2,0.0,1
Voice Assistants,EchoFlex,security,3,0.0,1
Voice Assistants,EchoFlex,security,4,0.0,1
Voice Assistants,EchoFlex,security,5,0.0,1
Voice Assistants,EchoFlex,security,6,0.0,1
Voice Assistants,EchoFlex,security,7,0.0,1
Voice Assistants,EchoFlex,security,8,0.0,1
Voice Assistants,EchoFlex,security,9,0.0,1
Voice Assistants,EchoFlex,security,10,0.0,1
Voice Assistants,EchoFlex,security,11,0.0,1
Voice Assistants,EchoFlex,security,12,0.0,1
Voice Assistants,EchoFlex,security,13,0.0,1
Voice Assistants,EchoFlex,security,14,0.0,1
Voice Assistants,EchoFlex,security,15,0.0,1
Voice Assistants,EchoFlex,security,16,0.0,1
Voice Assistants,EchoFlex,security,17,0.0,1
Voice Assistants,EchoFlex,security,18,0.0008319467554076539,3.75
Voice Assistants,EchoFlex,security,19,0.0014559068219633944,3.857142857142857
Voice Assistants,EchoFlex,security,20,0.0029118136439267887,4.714285714285714
Voice Assistants,EchoFlex,security,21,0.0018718801996672214,4.222222222222222
Voice Assistants,EchoFlex,security,22,0.0037437603993344427,4.611111111111111
Voice Assistants,EchoFlex,security,23,0.0,1
Voice Assistants,EchoFlex,security,24,0.0,1
Voice Assistants,EchoFlex,data,0,0.0,1
Voice Assistants,EchoFlex,data,1,0.0,1
Voice Assistants,EchoFlex,data,2,0.0,1
Voice Assistants,EchoFlex,data,3,0.0,1
Voice Assistants,EchoFlex,data,4,0.0,1
Voice Assistants,EchoFlex,data,5,0.0,1
Voice Assistants,EchoFlex,data,6,0.0,1
Voice Assistants,EchoFlex,data,7,0.0,1
Voice Assistants,EchoFlex,data,8,0.0,1
Voice Assistants,EchoFlex,data,9,0.0,1
Voice Assistants,EchoFlex,data,10,0.0,1
Voice Assistants,EchoFlex,data,11,0.0,1
Voice Assistants,EchoFlex,data,12,0.0,1
Voice Assistants,EchoFlex,data,13,0.0,1
Voice Assistants,EchoFlex,data,14,0.0,1
Voice Assistants,EchoFlex,data,15,0.0,1
Voice Assistants,EchoFlex,data,16,0.0,1
Voice Assistants,EchoFlex,data,17,0.0,1
Voice Assistants,EchoFlex,data,18,0.0010399334442595673,2.6
Voice Assistants,EchoFlex,data,19,0.0016638935108153079,3.375
Voice Assistants,EchoFlex,data,20,0.004367720465890183,3.7142857142857144
Voice Assistants,EchoFlex,data,21,0.0014559068219633944,4.571428571428571
Voice Assistants,EchoFlex,data,22,0.009775374376039933,4.170212765957447
Voice Assistants,EchoFlex,data,23,0.0,1
Voice Assistants,EchoFlex,data,24,0.0,1
Voice Assistants,EchoFlex,creepy,0,0.0,1
Voice Assistants,EchoFlex,creepy,1,0.0,1
Voice Assistants,EchoFlex,creepy,2,0.0,1
Voice Assistants,EchoFlex,creepy,3,0.0,1
Voice Assistants,EchoFlex,creepy,4,0.0,1
Voice Assistants,EchoFlex,creepy,5,0.0,1
Voice Assistants,EchoFlex,creepy,6,0.0,1
Voice Assistants,EchoFlex,creepy,7,0.0,1
Voice Assistants,EchoFlex,creepy,8,0.0,1
Voice Assistants,EchoFlex,creepy,9,0.0,1
Voice Assistants,EchoFlex,creepy,10,0.0,1
Voice Assistants,EchoFlex,creepy,11,0.0,1
Voice Assistants,EchoFlex,creepy,12,0.0,1
Voice Assistants,EchoFlex,creepy,13,0.0,1
Voice Assistants,EchoFlex,creepy,14,0.0,1
Voice Assistants,EchoFlex,creepy,15,0.0,1
Voice Assistants,EchoFlex,creepy,16,0.0,1
Voice Assistants,EchoFlex,creepy,17,0.0,1
Voice Assistants,EchoFlex,creepy,18,0.0,1
Voice Assistants,EchoFlex,creepy,19,0.00041597337770382697,3.5
Voice Assistants,EchoFlex,creepy,20,0.0016638935108153079,3.875
Voice Assistants,EchoFlex,creepy,21,0.0008319467554076539,4.0
Voice Assistants,EchoFlex,creepy,22,0.0016638935108153079,4.25
Voice Assistants,EchoFlex,creepy,23,0.0,1
Voice Assistants,EchoFlex,creepy,24,0.0,1
Voice Assistants,EchoFlex,privacy,0,0.0,1
Voice Assistants,EchoFlex,privacy,1,0.0,1
Voice Assistants,EchoFlex,privacy,2,0.0,1
Voice Assistants,EchoFlex,privacy,3,0.0,1
Voice Assistants,EchoFlex,privacy,4,0.0,1
Voice Assistants,EchoFlex,privacy,5,0.0,1
Voice Assistants,EchoFlex,privacy,6,0.0,1
Voice Assistants,EchoFlex,privacy,7,0.0,1
Voice Assistants,EchoFlex,privacy,8,0.0,1
Voice Assistants,EchoFlex,privacy,9,0.0,1
Voice Assistants,EchoFlex,privacy,10,0.0,1
Voice Assistants,EchoFlex,privacy,11,0.0,1
Voice Assistants,EchoFlex,privacy,12,0.0,1
Voice Assistants,EchoFlex,privacy,13,0.0,1
Voice Assistants,EchoFlex,privacy,14,0.0,1
Voice Assistants,EchoFlex,privacy,15,0.0,1
Voice Assistants,EchoFlex,privacy,16,0.0,1
Voice Assistants,EchoFlex,privacy,17,0.0,1
Voice Assistants,EchoFlex,privacy,18,0.0,1
Voice Assistants,EchoFlex,privacy,19,0.00020798668885191348,3.0
Voice Assistants,EchoFlex,privacy,20,0.0012479201331114808,4.666666666666667
Voice Assistants,EchoFlex,privacy,21,0.00041597337770382697,5.0
Voice Assistants,EchoFlex,privacy,22,0.0010399334442595673,4.8
Voice Assistants,EchoFlex,privacy,23,0.0,1
Voice Assistants,EchoFlex,privacy,24,0.0,1
Doorbell,NestVideoDoorbell,all reviews,0,0.0,1
Doorbell,NestVideoDoorbell,all reviews,1,0.0,1
Doorbell,NestVideoDoorbell,all reviews,2,0.0,1
Doorbell,NestVideoDoorbell,all reviews,3,0.0,1
Doorbell,NestVideoDoorbell,all reviews,4,0.0,1
Doorbell,NestVideoDoorbell,all reviews,5,0.0,1
Doorbell,NestVideoDoorbell,all reviews,6,0.002362204724409449,4.333333333333333
Doorbell,NestVideoDoorbell,all reviews,7,0.0,1
Doorbell,NestVideoDoorbell,all reviews,8,0.0,1
Doorbell,NestVideoDoorbell,all reviews,9,0.0,1
Doorbell,NestVideoDoorbell,all reviews,10,0.007086614173228346,4.666666666666667
Doorbell,NestVideoDoorbell,all reviews,11,0.0,1
Doorbell,NestVideoDoorbell,all reviews,12,0.0,1
Doorbell,NestVideoDoorbell,all reviews,13,0.0,1
